subject,s1,Subject 1,pass,,,
subject,s2,Subject 2,pass,,,
subject,s3,Subject 3,pass,,,
subject,s4,Subject 4,pass,,,
subject,s5,Subject 5,pass,,,
subject,s6,Subject 6,pass,,,
catalog,o1,D://,Catalog 1,,
catalog,o2,D://,Catalog 2,,
file,o3,D://,txt,1,document
file,o4,D://,png,1,my_pic0
file,o5,D://,jpg,1,my_pic1
file,o6,D://,exe,2,my_program
grid,topSecret,s1,,,
grid,topSecret,s2,,,
grid,secret,s3,,,
grid,confidential,s4,,,
grid,unclassified,s5,,,
grid,unclassified,s6,,,
grid,secret,o1,,,
grid,secret,o2,,,
grid,unclassified,o3,,,
grid,confidential,o4,,,
grid,topSecret,o5,,,
grid,unclassified,o6,,,
matrix,o1,s1,r,,
matrix,o2,s1,r,,
matrix,o3,s1,r,,
matrix,o4,s1,rd,,
matrix,o5,s1,rwd,,
matrix,o6,s1,rd,,
matrix,o1,s2,r,,
matrix,o2,s2,r,,
matrix,o3,s2,r,,
matrix,o4,s2,r,,
matrix,o5,s2,rw,,
matrix,o6,s2,r,,
matrix,o1,s3,rw,,
matrix,o2,s3,rw,,
matrix,o3,s3,r,,
matrix,o4,s3,r,,
matrix,o5,s3,w,,
matrix,o6,s3,r,,
matrix,o1,s4,w,,
matrix,o2,s4,w,,
matrix,o3,s4,r,,
matrix,o4,s4,r,,
matrix,o5,s4,w,,
matrix,o6,s4,r,,
matrix,o1,s5,w,,
matrix,o2,s5,w,,
matrix,o3,s5,rw,,
matrix,o4,s5,w,,
matrix,o5,s5,w,,
matrix,o6,s5,rw,,
matrix,o1,s6,w,,
matrix,o2,s6,w,,
matrix,o3,s6,rw,,
matrix,o4,s6,r,,
matrix,o5,s6,w,,
matrix,o6,s6,rw,,